42,Eric Gordon,SG,28,HOU,11,2,32.5,4.6,11,0.421,2.5,6.4,0.386,2.2,4.6,0.471,0.533,1.2,1.6,0.722,0.5,3.5,3.9,2,0.7,0.5,1.3,1.8,12.9
43,Joe Johnson,SF,35,UTA,11,2,29.6,5.3,12.1,0.436,1.4,4.1,0.333,3.9,8,0.489,0.492,1,1.4,0.733,0.7,3.2,3.9,2.5,0.5,0.1,1.2,1.9,12.9
44,Tim Hardaway,SG,24,ATL,6,6,33.3,4.5,13.7,0.329,1.8,7,0.262,2.7,6.7,0.4,0.396,2,3.2,0.632,0.5,2.2,2.7,1.2,0.5,0,1.7,2.2,12.8
45,Robin Lopez,C,28,CHI,6,6,27,5.7,8.7,0.654,0,0,,5.7,8.7,0.654,0.654,1.3,1.3,1,4.7,2.5,7.2,0.8,0.5,1,1.3,2.2,12.7
46,Jamal Crawford,SG,36,LAC,7,0,28,5,11.9,0.422,0.9,3.6,0.24,4.1,8.3,0.5,0.458,1.7,1.7,1,0.3,1,1.3,1.9,0.6,0.1,1.3,1.7,12.6
47,Lou Williams,SG,30,HOU,11,0,24.7,4.5,10.7,0.424,1.1,3.5,0.308,3.5,7.2,0.481,0.475,2.4,2.6,0.897,0.6,2.1,2.7,1.3,0.6,0.1,1.3,1.5,12.5
48,Otto Porter,SF,23,WAS,13,13,32.9,4.5,8.4,0.532,0.8,3,0.282,3.6,5.4,0.671,0.583,2.4,2.7,0.886,1.2,5.8,6.9,1.8,1.6,0.5,0.8,2,12.2
49,Markieff Morris,PF,27,WAS,13,13,28.7,4.5,11.2,0.407,1.1,2.9,0.368,3.5,8.2,0.421,0.455,1.9,2.4,0.806,1.3,5,6.3,1.7,0.9,1.3,1.6,3.5,12.1
50,Al-Farouq Aminu,SF,26,POR,4,0,28.3,4.3,9.3,0.459,1.8,4.3,0.412,2.5,5,0.5,0.554,1.8,2.8,0.636,1.3,5.3,6.5,1,0.8,1,2.3,2.3,12
51,Thaddeus Young,PF,28,IND,4,4,35,5.3,9.8,0.538,0.3,1,0.25,5,8.8,0.571,0.551,1.3,2.5,0.5,5.5,3.5,9,2.5,2,0.3,1.5,2.8,12
52,Isaiah Canaan,SG,25,CHI,3,2,31.7,4.3,8.7,0.5,1.7,4.7,0.357,2.7,4,0.667,0.596,1.3,2,0.667,0,1.3,1.3,1.3,1,0,1.7,2,11.7
53,Norman Powell,SG,23,TOR,9,5,25.2,3.9,9.1,0.427,1.7,3.8,0.441,2.2,5.3,0.417,0.518,2.2,2.7,0.833,0.6,2.6,3.1,1.6,1.1,0.3,1.7,2.8,11.7
54,Rudy Gobert,C,24,UTA,9,9,27.3,4.4,7,0.635,0,0,,4.4,7,0.635,0.635,2.7,5.6,0.48,2.4,7.4,9.9,1.2,1,1.3,1,3.3,11.6
55,Andre Roberson,SF,25,OKC,5,5,37,4.8,9.2,0.522,1.4,3.4,0.412,3.4,5.8,0.586,0.598,0.6,4.2,0.143,3.6,2.6,6.2,1.8,2.4,3.4,1.4,3,11.6
56,Rajon Rondo,PG,30,CHI,2,2,33.5,5.5,13,0.423,0,3,0,5.5,10,0.55,0.423,0.5,1,0.5,3.5,5,8.5,10,3.5,0.5,2,3,11.5
57,Jonas Valanciunas,C,24,TOR,10,6,22.6,4.4,8.1,0.543,0,0.1,0,4.4,8,0.55,0.543,2.4,3.3,0.727,0.9,5.8,6.7,0.2,0.2,0.6,1.3,2.2,11.2
58,Taurean Waller-Prince,SF,22,ATL,6,6,31.2,4.8,8.7,0.558,0.7,2.3,0.286,4.2,6.3,0.658,0.596,0.8,0.8,1,1.2,4.2,5.3,1.3,0.3,0.2,1.2,1.5,11.2
59,Patrick Beverley,SG,28,HOU,11,11,29.5,4.1,9.9,0.413,1.9,4.7,0.404,2.2,5.2,0.421,0.509,1,1.3,0.786,1.9,3.6,5.5,3,1.5,0.2,1.6,3.5,11.1
60,Victor Oladipo,SG,24,OKC,5,5,36.2,4.2,12.2,0.344,1.2,5,0.24,3,7.2,0.417,0.393,1.2,1.2,1,0.4,5.2,5.6,2,1.4,0.6,1.2,3.4,10.8
61,Myles Turner,C,20,IND,4,4,33.3,4.8,11,0.432,0,1.5,0,4.8,9.5,0.5,0.432,1.3,2,0.625,1.5,5.3,6.8,0.8,1.8,1.3,1.5,3.8,10.8
62,Trevor Ariza,SF,31,HOU,11,11,37.5,3.7,8.8,0.423,2.1,5.5,0.377,1.6,3.3,0.5,0.541,1.2,1.3,0.929,0.7,4.4,5.1,2.1,1.3,0.2,0.8,2.3,10.7
63,Patty Mills,PG,28,SAS,13,3,25.6,3.8,8.5,0.441,2.1,5.5,0.375,1.7,3,0.564,0.563,1.1,1.3,0.824,0.3,1.8,2.1,2.5,0.7,0,1.2,2.4,10.7
64,Clint Capela,C,22,HOU,11,11,26,4.2,7.5,0.561,0,0.1,0,4.2,7.4,0.568,0.561,2.2,3.5,0.615,2.4,6.4,8.7,1.1,0.7,2.5,0.7,2.5,10.5
65,Evan Turner,SF,28,POR,4,4,31,3,8.3,0.364,1.3,3.8,0.333,1.8,4.5,0.389,0.439,3,4,0.75,0.8,5,5.8,3.8,1.8,0.5,1.8,1.8,10.3
66,Nene Hilario,C,34,HOU,9,0,17.9,4,5.7,0.706,0,0.1,0,4,5.6,0.72,0.706,2,3.4,0.581,1.2,3.4,4.7,0.6,0.7,0.4,1,2.7,10
67,Tony Snell,SG,25,MIL,6,6,30.8,3.7,7.3,0.5,2.7,5.2,0.516,1,2.2,0.462,0.682,0,0,,0.3,2,2.3,1.5,0.2,0.2,0.3,2.8,10
68,Kent Bazemore,SF,27,ATL,6,0,25,3.5,8.8,0.396,1.2,4,0.292,2.3,4.8,0.483,0.462,1.7,2.3,0.714,0.7,3.2,3.8,3.3,0.7,0.8,2.7,2.5,9.8
69,Taj Gibson,PF,31,OKC,5,5,23.6,4.2,7,0.6,0,0,,4.2,7,0.6,0.6,1.4,1.6,0.875,0.6,3,3.6,0.6,0.2,0,1.6,2.6,9.8
70,Kelly Olynyk,C,25,BOS,13,0,19.6,3.8,6.7,0.563,1,2.8,0.351,2.8,3.8,0.72,0.638,1.2,1.8,0.652,0.7,2.6,3.3,1.9,0.8,0.8,1.2,2.8,9.7
71,Ryan Anderson,PF,28,HOU,11,9,30.5,3.3,8.4,0.391,1.5,5.5,0.283,1.7,2.9,0.594,0.484,1.3,1.5,0.875,1.4,3.8,5.2,0.6,0.4,0.2,0.8,2.2,9.4
72,Vince Carter,SF,40,MEM,6,6,32.5,3.3,7,0.476,1.3,3.3,0.4,2,3.7,0.545,0.571,1.2,1.2,1,0.7,2.7,3.3,1.5,0.3,0,1.7,2.5,9.2
73,Jerami Grant,SF,22,OKC,5,0,22.2,3.8,6.2,0.613,0.4,1.2,0.333,3.4,5,0.68,0.645,1.2,1.4,0.857,1.4,2.4,3.8,0.8,0.2,0.4,0.6,1.4,9.2
74,J.J. Redick,SG,32,LAC,7,7,29.4,2.7,7.1,0.38,1.3,3.7,0.346,1.4,3.4,0.417,0.47,2.4,2.9,0.85,0,1.7,1.7,0.9,0.3,0,1.9,2.4,9.1
75,Jonathon Simmons,SG,27,SAS,12,1,18.4,3.5,7.3,0.483,0.8,2.3,0.37,2.7,5,0.533,0.54,1.3,1.8,0.682,0.5,1,1.5,1.4,0.6,0.1,0.8,1.7,9.1
76,Malcolm Brogdon,SG,24,MIL,6,6,30.5,3.7,9.2,0.4,1.7,3.5,0.476,2,5.7,0.353,0.491,0,0,,0.5,3.8,4.3,3.5,0.5,0.3,2,2,9
77,Rodney Hood,SG,24,UTA,11,0,25.2,3.4,9.5,0.352,1.2,4.5,0.26,2.2,5,0.436,0.414,1,1.6,0.611,0.1,2.6,2.7,1.1,0.5,0,0.9,2.7,8.9
